region;zip;name;address;telephone;email;opening_hours;age;summary
Wieblingen; 69123; Waldorfschulverein Heidelberg e.V.; Mittelgewannweg 16 Heidelberg ;  (06221) 820123; info@waldorfkita‐hd.de; Kiga and out of School care: 7 a.m. – 5 p.m. / Toddlers group: 7:30 a.m. – 2:30 p.m.; 2 month – 14 years;;
Wieblingen; 69123; Kita Rasselbande e.V.; Rischerstr. 12 Heidelberg ;  (06221) 7277000; info@kita‐heidelberg.de; 6 a.m. – 6:30 p.m. (with advanced notification also until 7 p.m., with three kids or more also Saturdays possible); 2 month – until school enrolment;;
Wieblingen; 69123; Städtische Kita Karolinger Weg; Karolingerweg 16 Heidelberg ;  (06221) 833789; kita‐karolingerweg@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – until school enrolment;;
Ziegelhausen; 69118; Evangelische Kita der Versöhnungsgemeinde; Mühlweg 10 Heidelberg ;  (06221) 801533; kita.versoehnungsgemeinde@ekihd.de; 7:30 a.m. – 4:30 p.m.; 9 month – until school enrolment;;
Ziegelhausen; 69118; Katholischer Kindergarten St. Josef; Brahmstr. 9 Heidelberg ;  (06221) 801103; kiga‐st.josef@heidelberg‐neckartal.de; Kindergarten: 7 a.m. – 5 p.m. / Nursery: 7 a.m. – 4 p.m.; 1,5 years – until school enrolment;;
Ziegelhausen; 69118; Katholischer Kindergarten St. Marien; Steinbachdamm 1 Heidelberg ;  (06221) 802568; kiga‐st.marien@heidelberg‐neckartal.de; 7:30 a.m. – 4:30 p.m.; 1 year – until school enrolment;;
Ziegelhausen; 69118; Kinderhaus Heidelberg e.V.; In der Neckarhelle 72 Heidelberg ;  (06221) 803295; kinderhaus‐heidelberg@web.de; 7 a.m. – 5 p.m.; 2,75 – 10 years;;
Ziegelhausen; 69118; Städtische Kita Kleingemünder Straße; Kleingemünder Str. 24 Heidelberg ;  (06221) 8953808; kita‐kleingemuenderstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – end of elementary school;;
Ziegelhausen; 69118; Städtische Kita Wilhelmsfelder Straße,; Wilhelmsfelder Str. 64 Heidelberg ;  (06221) 139580 and 803375; kita‐wilhelmsfelderstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Ziegelhausen; 69118; EMBL‐Kinderhaus (only for staff of the EMBL); Meyerhofstr. 1 Heidelberg ;  (06221) 387308; martin.kirch@embl.de; 8:30 – 6 p.m. (Fri 5 p.m.); 3 month – until school enrolment;;
